Sub,Exper,Cond,NumSes,TrlsPerSes,TrngSpan,TtlTrls,PkNumDiffLstSes,ExtPkNumDiff,TrlsToExt,d7PkNumDiff,d21PkNumDiff,PkDurDiffLstSes,ExtPkDurDiff,d7PkDurDiff,d21PkDurDiff,AcqTrl
23,1,7_40_7_280,7,40,7,280,4.225,-9,33,3,0,2.03850000000002,-1.6200000000006,0.54000000000002,0,184
24,1,7_40_7_280,7,40,7,280,7.35,12,30,4,4,1.80699999999978,2.42000000000075,0.599999999999966,3.28000000000003,47
25,1,7_40_7_280,7,40,7,280,3.575,-1,30,0,0,1.77949999999999,2.5600000000004,0,0,78
26,1,7_40_7_280,7,40,7,280,5.225,42,30,8,0,1.26849999999984,2.71999999999764,0.440000000000083,0,48
27,1,7_40_7_280,7,40,7,280,7.225,84,52,9,0,2.15600000000022,27.7400000000033,2.21999999999997,0,50
28,1,7_40_7_280,7,40,7,280,0.625,-8,32,-1,0,0.259000000000035,-5.70000000000007,-0.139999999999986,0,55
29,1,28_10_28_280,28,10,28,280,3.6,16,31,10,8,-0.667999999999835,3.0599999999981,5.21999999999983,3.36000000000013,125
30,1,28_10_28_280,28,10,28,280,5.3,12,33,3,14,1.39599999999995,3.54000000000025,0.740000000000009,6.84,48
31,1,28_10_28_280,28,10,28,280,4,-1,30,-3,7,1.70000000000004,1.52000000000046,3.56000000000003,6.28000000000003,46
32,1,28_10_28_280,28,10,28,280,9.6,18,36,11,26,2.55400000000014,3.99999999999989,10.88,13.0599999999999,35
33,1,28_10_28_280,28,10,28,280,1.3,5,43,0,4,0.328000000000014,3.57999999999655,-0.759999999999962,1.49999999999997,63
34,1,28_10_28_280,28,10,28,280,4.9,7,35,-1,6,1.33000000000002,1.83999999999992,2.55999999999997,3.04000000000005,45
65,1,7_40_28_280,7,40,28,280,3.825,10,30,-1,4,0.924500000000122,-2.81999999999883,-0.159999999999997,3.48000000000005,91
66,1,7_40_28_280,7,40,28,280,5.15,41,34,3,8,1.55250000000013,9.22000000000085,0.759999999999991,4.84000000000003,35
67,1,7_40_28_280,7,40,28,280,4.975,84,50,0,11,1.91350000000002,28.8400000000019,0.240000000000009,6.81999999999988,70
68,1,7_40_28_280,7,40,28,280,5.9,37,30,1,11,1.98400000000017,13.1000000000004,0.0999999999999943,7.53999999999979,45
69,1,7_40_28_280,7,40,28,280,11.65,54,30,2,0,4.33600000000018,22.42,0.479999999999961,-0.279999999999973,35
70,1,7_40_28_280,7,40,28,280,8.675,117,38,7,6,3.07849999999998,38.0199999999996,2.39999999999998,3.80000000000001,46
35,2,24_10_24_240,24,10,24,240,2.9,-11,34,2,2,1.07599999999997,-2.87999999999954,0.620000000000005,0.980000000000018,86
36,2,24_10_24_240,24,10,24,240,2.5,-6,30,1,11,0.507999999999986,-5.20000000000095,0.200000000000045,7.82000000000002,61
37,2,24_10_24_240,24,10,24,240,3.3,31,32,4,6,0.87199999999991,9.99999999999969,2.47999999999996,2.60000000000002,52
38,2,24_10_24_240,24,10,24,240,7.8,36,32,-1,10,1.45999999999996,8.80000000000075,0.539999999999907,2.3399999999998,47
39,2,24_10_24_240,24,10,24,240,6.3,49,38,7,12,1.88399999999993,15.9400000000004,2.46000000000004,9.36000000000007,37
40,2,24_10_24_240,24,10,24,240,5.7,32,35,8,8,1.83000000000001,10.6399999999983,1.69999999999999,5.79999999999995,39
41,2,6_40_6_240,6,40,6,240,5.9,15,30,0,8,1.53999999999997,2.90000000000046,0,3.36000000000018,37
42,2,6_40_6_240,6,40,6,240,3.325,12,37,2,1,1.78800000000007,2.94000000000159,0.620000000000005,0.379999999999995,90
43,2,6_40_6_240,6,40,6,240,4.125,12,34,1,7,1.97849999999996,3.82000000000178,0.0800000000000409,5.00000000000023,103
